Cause of death,NICU Admission,Antibiotics for Mother,Mother's Pre-pregnancy BMI,Infant birth weight,Deaths,Births,Death rate per 1000,Year
Other ill-defined and unspecified causes of mortality,No,Yes,Overweight 25.0-29.9,2500 - 2999 grams,13.0,38983.0,0.33 (Unreliable),2018
Other ill-defined and unspecified causes of mortality,No,Yes,Overweight 25.0-29.9,3000 - 3499 grams,18.0,81976.0,0.22 (Unreliable),2018
Other ill-defined and unspecified causes of mortality,No,Yes,Overweight 25.0-29.9,3500 - 3999 grams,16.0,59277.0,0.27 (Unreliable),2018
Other ill-defined and unspecified causes of mortality,No,Yes,Obesity I 30.0-34.9,3000 - 3499 grams,13.0,48130.0,0.27 (Unreliable),2018
Other ill-defined and unspecified causes of mortality,No,Yes,Obesity II 35.0-39.9,3000 - 3499 grams,11.0,24827.0,0.44 (Unreliable),2018
Other ill-defined and unspecified causes of mortality,No,No,Underweight <18.5,3000 - 3499 grams,12.0,35327.0,0.34 (Unreliable),2018
Other ill-defined and unspecified causes of mortality,No,No,Normal 18.5-24.9,2000 - 2499 grams,28.0,39388.0,0.71,2018
Other ill-defined and unspecified causes of mortality,No,No,Normal 18.5-24.9,2500 - 2999 grams,90.0,216767.0,0.42,2018
Other ill-defined and unspecified causes of mortality,No,No,Normal 18.5-24.9,3000 - 3499 grams,97.0,469551.0,0.21,2018
Other ill-defined and unspecified causes of mortality,No,No,Normal 18.5-24.9,3500 - 3999 grams,28.0,293306.0,0.1,2018
Other ill-defined and unspecified causes of mortality,No,No,Overweight 25.0-29.9,2000 - 2499 grams,18.0,21213.0,0.85 (Unreliable),2018
Other ill-defined and unspecified causes of mortality,No,No,Overweight 25.0-29.9,2500 - 2999 grams,49.0,114783.0,0.43,2018
Other ill-defined and unspecified causes of mortality,No,No,Overweight 25.0-29.9,3000 - 3499 grams,80.0,274003.0,0.29,2018
Other ill-defined and unspecified causes of mortality,No,No,Overweight 25.0-29.9,3500 - 3999 grams,36.0,199599.0,0.18,2018
Other ill-defined and unspecified causes of mortality,No,No,Obesity I 30.0-34.9,2500 - 2999 grams,40.0,60649.0,0.66,2018
Other ill-defined and unspecified causes of mortality,No,No,Obesity I 30.0-34.9,3000 - 3499 grams,30.0,145954.0,0.21,2018
Other ill-defined and unspecified causes of mortality,No,No,Obesity I 30.0-34.9,3500 - 3999 grams,28.0,111580.0,0.25,2018
Other ill-defined and unspecified causes of mortality,No,No,Obesity II 35.0-39.9,2500 - 2999 grams,15.0,28587.0,0.53 (Unreliable),2018
Other ill-defined and unspecified causes of mortality,No,No,Obesity II 35.0-39.9,3000 - 3499 grams,23.0,67270.0,0.34,2018
Other ill-defined and unspecified causes of mortality,No,No,Obesity II 35.0-39.9,3500 - 3999 grams,12.0,53577.0,0.22 (Unreliable),2018
Other ill-defined and unspecified causes of mortality,No,No,Extreme Obesity III > 39.9,2500 - 2999 grams,12.0,19658.0,0.61 (Unreliable),2018
Other ill-defined and unspecified causes of mortality,No,No,Extreme Obesity III > 39.9,3000 - 3499 grams,25.0,44846.0,0.56,2018
Other ill-defined and unspecified causes of mortality,No,No,Extreme Obesity III > 39.9,3500 - 3999 grams,11.0,36154.0,0.31 (Unreliable),2018
Accidental suffocation and strangulation in bed,No,Yes,Normal 18.5-24.9,2000 - 2499 grams,10.0,16287.0,0.62 (Unreliable),2018
Accidental suffocation and strangulation in bed,No,Yes,Normal 18.5-24.9,2500 - 2999 grams,22.0,66206.0,0.33,2018
Accidental suffocation and strangulation in bed,No,Yes,Normal 18.5-24.9,3000 - 3499 grams,25.0,127598.0,0.2,2018
Accidental suffocation and strangulation in bed,No,Yes,Normal 18.5-24.9,3500 - 3999 grams,12.0,79718.0,0.15 (Unreliable),2018
Accidental suffocation and strangulation in bed,No,Yes,Overweight 25.0-29.9,2500 - 2999 grams,11.0,38983.0,0.28 (Unreliable),2018
Accidental suffocation and strangulation in bed,No,Yes,Overweight 25.0-29.9,3000 - 3499 grams,13.0,81976.0,0.16 (Unreliable),2018
Accidental suffocation and strangulation in bed,No,Yes,Obesity I 30.0-34.9,3000 - 3499 grams,11.0,48130.0,0.23 (Unreliable),2018
Accidental suffocation and strangulation in bed,No,No,Normal 18.5-24.9,2000 - 2499 grams,16.0,39388.0,0.41 (Unreliable),2018
Accidental suffocation and strangulation in bed,No,No,Normal 18.5-24.9,2500 - 2999 grams,65.0,216767.0,0.3,2018
Accidental suffocation and strangulation in bed,No,No,Normal 18.5-24.9,3000 - 3499 grams,57.0,469551.0,0.12,2018
Accidental suffocation and strangulation in bed,No,No,Normal 18.5-24.9,3500 - 3999 grams,27.0,293306.0,0.09,2018
Accidental suffocation and strangulation in bed,No,No,Overweight 25.0-29.9,2500 - 2999 grams,38.0,114783.0,0.33,2018
Accidental suffocation and strangulation in bed,No,No,Overweight 25.0-29.9,3000 - 3499 grams,55.0,274003.0,0.2,2018
Accidental suffocation and strangulation in bed,No,No,Overweight 25.0-29.9,3500 - 3999 grams,17.0,199599.0,0.09 (Unreliable),2018
Accidental suffocation and strangulation in bed,No,No,Obesity I 30.0-34.9,2500 - 2999 grams,20.0,60649.0,0.33,2018
Accidental suffocation and strangulation in bed,No,No,Obesity I 30.0-34.9,3000 - 3499 grams,29.0,145954.0,0.2,2018
Accidental suffocation and strangulation in bed,No,No,Obesity I 30.0-34.9,3500 - 3999 grams,22.0,111580.0,0.2,2018
Accidental suffocation and strangulation in bed,No,No,Obesity II 35.0-39.9,3000 - 3499 grams,15.0,67270.0,0.22 (Unreliable),2018
Accidental suffocation and strangulation in bed,No,No,Obesity II 35.0-39.9,3500 - 3999 grams,13.0,53577.0,0.24 (Unreliable),2018
Accidental suffocation and strangulation in bed,No,No,Extreme Obesity III > 39.9,2500 - 2999 grams,10.0,19658.0,0.51 (Unreliable),2018
Accidental suffocation and strangulation in bed,No,No,Extreme Obesity III > 39.9,3000 - 3499 grams,19.0,44846.0,0.42 (Unreliable),2018
Accidental suffocation and strangulation in bed,No,No,Extreme Obesity III > 39.9,3500 - 3999 grams,16.0,36154.0,0.44 (Unreliable),2018
Assault by unspecified means,No,No,Normal 18.5-24.9,3000 - 3499 grams,13.0,469551.0,0.03 (Unreliable),2018
Other and unspecified gastroenteritis and colitis of infectious origin,Yes,Yes,Normal 18.5-24.9,500 - 749 grams,10.0,865.0,11.58 (Unreliable),2019
Other and unspecified gastroenteritis and colitis of infectious origin,Yes,No,Normal 18.5-24.9,500 - 749 grams,15.0,1139.0,13.21 (Unreliable),2019
Newborn affected by incompetent cervix,No,Yes,Normal 18.5-24.9,499 grams or less,14.0,195.0,72.43 (Unreliable),2019
Newborn affected by incompetent cervix,No,No,Normal 18.5-24.9,499 grams or less,50.0,812.0,61.07,2019
Newborn affected by incompetent cervix,No,No,Overweight 25.0-29.9,499 grams or less,40.0,659.0,61.27,2019
Newborn affected by incompetent cervix,No,No,Obesity I 30.0-34.9,499 grams or less,43.0,546.0,79.56,2019
Newborn affected by incompetent cervix,No,No,Obesity II 35.0-39.9,499 grams or less,23.0,364.0,63.99,2019
Newborn affected by incompetent cervix,No,No,Extreme Obesity III > 39.9,499 grams or less,25.0,290.0,87.26,2019
Newborn affected by incompetent cervix,No,No,Unknown or Not Stated,499 grams or less,14.0,212.0,66.27 (Unreliable),2019
Newborn affected by premature rupture of membranes,No,Yes,Normal 18.5-24.9,499 grams or less,34.0,195.0,175.58,2019
Newborn affected by premature rupture of membranes,No,Yes,Overweight 25.0-29.9,499 grams or less,29.0,200.0,147.37,2019
Newborn affected by premature rupture of membranes,No,Yes,Obesity I 30.0-34.9,499 grams or less,15.0,151.0,100.94 (Unreliable),2019
Newborn affected by premature rupture of membranes,No,Yes,Obesity II 35.0-39.9,499 grams or less,11.0,102.0,108.10 (Unreliable),2019
Newborn affected by premature rupture of membranes,No,No,Normal 18.5-24.9,499 grams or less,79.0,812.0,97.37,2019
Newborn affected by premature rupture of membranes,No,No,Normal 18.5-24.9,500 - 749 grams,22.0,309.0,72.3,2019
Newborn affected by premature rupture of membranes,No,No,Overweight 25.0-29.9,499 grams or less,60.0,659.0,90.48,2019
Newborn affected by premature rupture of membranes,No,No,Overweight 25.0-29.9,500 - 749 grams,12.0,224.0,53.81 (Unreliable),2019
Newborn affected by premature rupture of membranes,No,No,Obesity I 30.0-34.9,499 grams or less,43.0,546.0,79.42,2019
Newborn affected by premature rupture of membranes,No,No,Obesity II 35.0-39.9,499 grams or less,26.0,364.0,72.14,2019
Newborn affected by premature rupture of membranes,No,No,Extreme Obesity III > 39.9,499 grams or less,27.0,290.0,94.51,2019
Newborn affected by premature rupture of membranes,No,No,Unknown or Not Stated,499 grams or less,28.0,212.0,132.76,2019
Newborn affected by multiple pregnancy,No,No,Extreme Obesity III > 39.9,499 grams or less,10.0,290.0,34.48 (Unreliable),2019
Newborn affected by other maternal complications of pregnancy,No,No,Normal 18.5-24.9,499 grams or less,10.0,812.0,12.63 (Unreliable),2019
Newborn affected by other forms of placental separation and haemorrhage,No,No,Normal 18.5-24.9,499 grams or less,42.0,812.0,52.13,2019
Newborn affected by other forms of placental separation and haemorrhage,No,No,Normal 18.5-24.9,500 - 749 grams,10.0,309.0,32.95 (Unreliable),2019
Newborn affected by other forms of placental separation and haemorrhage,No,No,Overweight 25.0-29.9,499 grams or less,32.0,659.0,49.23,2019
Newborn affected by other forms of placental separation and haemorrhage,No,No,Obesity I 30.0-34.9,499 grams or less,18.0,546.0,33.25 (Unreliable),2019
Newborn affected by chorioamnionitis,No,Yes,Normal 18.5-24.9,499 grams or less,16.0,195.0,83.04 (Unreliable),2019
Newborn affected by chorioamnionitis,No,Yes,Overweight 25.0-29.9,499 grams or less,16.0,200.0,80.74 (Unreliable),2019
Newborn affected by chorioamnionitis,No,Yes,Obesity I 30.0-34.9,499 grams or less,17.0,151.0,113.14 (Unreliable),2019
Newborn affected by chorioamnionitis,No,Yes,Obesity II 35.0-39.9,499 grams or less,12.0,102.0,118.29 (Unreliable),2019
Newborn affected by chorioamnionitis,No,No,Normal 18.5-24.9,499 grams or less,31.0,812.0,38.55,2019
Newborn affected by chorioamnionitis,No,No,Overweight 25.0-29.9,499 grams or less,12.0,659.0,18.32 (Unreliable),2019
Newborn affected by chorioamnionitis,No,No,Obesity I 30.0-34.9,499 grams or less,11.0,546.0,20.32 (Unreliable),2019
Newborn affected by chorioamnionitis,No,No,Obesity II 35.0-39.9,499 grams or less,12.0,364.0,33.28 (Unreliable),2019
"Slow fetal growth, unspecified",Yes,No,Overweight 25.0-29.9,499 grams or less,10.0,239.0,42.54 (Unreliable),2019
Extreme immaturity,Yes,Yes,Normal 18.5-24.9,499 grams or less,12.0,137.0,87.82 (Unreliable),2019
Extreme immaturity,Yes,Yes,Normal 18.5-24.9,500 - 749 grams,34.0,865.0,39.63,2019
Extreme immaturity,Yes,Yes,Overweight 25.0-29.9,499 grams or less,16.0,124.0,129.53 (Unreliable),2019
Extreme immaturity,Yes,Yes,Overweight 25.0-29.9,500 - 749 grams,28.0,723.0,39.02,2019
Extreme immaturity,Yes,Yes,Obesity I 30.0-34.9,499 grams or less,10.0,108.0,93.01 (Unreliable),2019
Extreme immaturity,Yes,Yes,Obesity I 30.0-34.9,500 - 749 grams,17.0,560.0,30.72 (Unreliable),2019
Extreme immaturity,Yes,Yes,Obesity II 35.0-39.9,499 grams or less,10.0,55.0,184.96 (Unreliable),2019
Extreme immaturity,Yes,No,Normal 18.5-24.9,499 grams or less,61.0,286.0,213.37,2019
Extreme immaturity,Yes,No,Normal 18.5-24.9,500 - 749 grams,37.0,1139.0,32.07,2019
Extreme immaturity,Yes,No,Overweight 25.0-29.9,499 grams or less,43.0,239.0,178.34,2019
Extreme immaturity,Yes,No,Overweight 25.0-29.9,500 - 749 grams,35.0,958.0,36.78,2019
Extreme immaturity,Yes,No,Obesity I 30.0-34.9,499 grams or less,31.0,176.0,178.33,2019
Extreme immaturity,Yes,No,Obesity I 30.0-34.9,500 - 749 grams,19.0,692.0,27.82 (Unreliable),2019
Extreme immaturity,Yes,No,Obesity II 35.0-39.9,499 grams or less,20.0,92.0,217.89,2019
Extreme immaturity,Yes,No,Extreme Obesity III > 39.9,499 grams or less,12.0,95.0,128.09 (Unreliable),2019
Extreme immaturity,Yes,No,Extreme Obesity III > 39.9,500 - 749 grams,15.0,360.0,42.31 (Unreliable),2019
Extreme immaturity,No,Yes,Normal 18.5-24.9,499 grams or less,68.0,195.0,348.04,2019
Extreme immaturity,No,Yes,Normal 18.5-24.9,500 - 749 grams,16.0,100.0,161.25 (Unreliable),2019
Extreme immaturity,No,Yes,Overweight 25.0-29.9,499 grams or less,73.0,200.0,363.85,2019
Extreme immaturity,No,Yes,Overweight 25.0-29.9,500 - 749 grams,16.0,85.0,190.07 (Unreliable),2019
Extreme immaturity,No,Yes,Obesity I 30.0-34.9,499 grams or less,49.0,151.0,321.24,2019
Extreme immaturity,No,Yes,Obesity II 35.0-39.9,499 grams or less,39.0,102.0,383.98,2019
Extreme immaturity,No,Yes,Extreme Obesity III > 39.9,499 grams or less,30.0,74.0,407.3,2019
Extreme immaturity,No,Yes,Extreme Obesity III > 39.9,500 - 749 grams,12.0,29.0,414.61 (Unreliable),2019
Extreme immaturity,No,Yes,Unknown or Not Stated,499 grams or less,11.0,36.0,307.10 (Unreliable),2019
Extreme immaturity,No,No,Underweight <18.5,499 grams or less,28.0,65.0,436.05,2019
Extreme immaturity,No,No,Normal 18.5-24.9,499 grams or less,295.0,812.0,363.66,2019
Extreme immaturity,No,No,Normal 18.5-24.9,500 - 749 grams,64.0,309.0,208.42,2019
Extreme immaturity,No,No,Overweight 25.0-29.9,499 grams or less,256.0,659.0,388.66,2019
Extreme immaturity,No,No,Overweight 25.0-29.9,500 - 749 grams,45.0,224.0,202.14,2019
Extreme immaturity,No,No,Obesity I 30.0-34.9,499 grams or less,221.0,546.0,405.08,2019
Extreme immaturity,No,No,Obesity I 30.0-34.9,500 - 749 grams,37.0,149.0,249.8,2019
Extreme immaturity,No,No,Obesity II 35.0-39.9,499 grams or less,153.0,364.0,421.67,2019
Extreme immaturity,No,No,Obesity II 35.0-39.9,500 - 749 grams,31.0,122.0,255.71,2019
Extreme immaturity,No,No,Extreme Obesity III > 39.9,499 grams or less,124.0,290.0,427.45,2019
Extreme immaturity,No,No,Extreme Obesity III > 39.9,500 - 749 grams,19.0,83.0,229.86 (Unreliable),2019
Extreme immaturity,No,No,Unknown or Not Stated,499 grams or less,81.0,212.0,379.85,2019
Extreme immaturity,No,No,Unknown or Not Stated,500 - 749 grams,13.0,51.0,256.80 (Unreliable),2019
Other preterm infants,No,Yes,Normal 18.5-24.9,499 grams or less,14.0,195.0,73.89 (Unreliable),2019
Other preterm infants,No,Yes,Overweight 25.0-29.9,499 grams or less,21.0,200.0,105.87,2019
Other preterm infants,No,Yes,Obesity I 30.0-34.9,499 grams or less,17.0,151.0,112.81 (Unreliable),2019
Other preterm infants,No,No,Normal 18.5-24.9,499 grams or less,96.0,812.0,117.8,2019
Other preterm infants,No,No,Normal 18.5-24.9,500 - 749 grams,25.0,309.0,81.47,2019
Other preterm infants,No,No,Overweight 25.0-29.9,499 grams or less,82.0,659.0,124.21,2019
Other preterm infants,No,No,Overweight 25.0-29.9,500 - 749 grams,15.0,224.0,67.98 (Unreliable),2019
Other preterm infants,No,No,Obesity I 30.0-34.9,499 grams or less,68.0,546.0,124.54,2019
Other preterm infants,No,No,Obesity II 35.0-39.9,499 grams or less,49.0,364.0,135.21,2019
Other preterm infants,No,No,Extreme Obesity III > 39.9,499 grams or less,34.0,290.0,117.9,2019
Other preterm infants,No,No,Unknown or Not Stated,499 grams or less,29.0,212.0,137.56,2019
"Intrauterine hypoxia, unspecified",Yes,No,Normal 18.5-24.9,500 - 749 grams,10.0,1139.0,8.82 (Unreliable),2019
Respiratory distress syndrome of newborn,Yes,Yes,Normal 18.5-24.9,500 - 749 grams,22.0,865.0,25.67,2019
Respiratory distress syndrome of newborn,Yes,Yes,Overweight 25.0-29.9,500 - 749 grams,17.0,723.0,23.69 (Unreliable),2019
Respiratory distress syndrome of newborn,Yes,Yes,Obesity I 30.0-34.9,500 - 749 grams,16.0,560.0,28.82 (Unreliable),2019
Respiratory distress syndrome of newborn,Yes,Yes,Obesity II 35.0-39.9,500 - 749 grams,16.0,355.0,45.63 (Unreliable),2019
Respiratory distress syndrome of newborn,Yes,No,Normal 18.5-24.9,500 - 749 grams,24.0,1139.0,21.18,2019
Respiratory distress syndrome of newborn,Yes,No,Normal 18.5-24.9,750 - 999 grams,11.0,1595.0,6.96 (Unreliable),2019
Respiratory distress syndrome of newborn,Yes,No,Overweight 25.0-29.9,499 grams or less,11.0,239.0,46.08 (Unreliable),2019
Respiratory distress syndrome of newborn,Yes,No,Overweight 25.0-29.9,500 - 749 grams,15.0,958.0,15.91 (Unreliable),2019
Respiratory distress syndrome of newborn,Yes,No,Obesity I 30.0-34.9,500 - 749 grams,21.0,692.0,30.65,2019
Unspecified pulmonary haemorrhage originating in the perinatal period,Yes,No,Overweight 25.0-29.9,500 - 749 grams,10.0,958.0,10.49 (Unreliable),2019
Primary atelectasis of newborn,Yes,Yes,Normal 18.5-24.9,500 - 749 grams,10.0,865.0,11.78 (Unreliable),2019
Primary atelectasis of newborn,No,No,Overweight 25.0-29.9,499 grams or less,11.0,659.0,16.81 (Unreliable),2019
Neonatal cardiac failure,Yes,Yes,Normal 18.5-24.9,500 - 749 grams,10.0,865.0,11.69 (Unreliable),2019
Neonatal cardiac failure,Yes,No,Normal 18.5-24.9,500 - 749 grams,13.0,1139.0,11.47 (Unreliable),2019
Neonatal cardiac failure,Yes,No,Overweight 25.0-29.9,499 grams or less,12.0,239.0,50.27 (Unreliable),2019
Neonatal cardiac failure,No,No,Normal 18.5-24.9,500 - 749 grams,12.0,309.0,39.23 (Unreliable),2019
Neonatal cardiac failure,No,No,Overweight 25.0-29.9,499 grams or less,14.0,659.0,21.38 (Unreliable),2019
Neonatal cardiac dysrhythmia,No,No,Normal 18.5-24.9,499 grams or less,25.0,812.0,31.03,2019
Neonatal cardiac dysrhythmia,No,No,Overweight 25.0-29.9,499 grams or less,20.0,659.0,30.59,2019
Neonatal cardiac dysrhythmia,No,No,Obesity I 30.0-34.9,499 grams or less,25.0,546.0,46.3,2019
Neonatal cardiac dysrhythmia,No,No,Obesity II 35.0-39.9,499 grams or less,10.0,364.0,27.64 (Unreliable),2019
Neonatal cardiac dysrhythmia,No,No,Extreme Obesity III > 39.9,499 grams or less,10.0,290.0,34.82 (Unreliable),2019
"Bacterial sepsis of newborn, unspecified",Yes,Yes,Normal 18.5-24.9,500 - 749 grams,17.0,865.0,19.72 (Unreliable),2019
"Bacterial sepsis of newborn, unspecified",Yes,Yes,Normal 18.5-24.9,750 - 999 grams,12.0,1206.0,9.96 (Unreliable),2019
"Bacterial sepsis of newborn, unspecified",Yes,Yes,Overweight 25.0-29.9,500 - 749 grams,18.0,723.0,25.07 (Unreliable),2019
"Bacterial sepsis of newborn, unspecified",Yes,Yes,Obesity I 30.0-34.9,500 - 749 grams,12.0,560.0,21.54 (Unreliable),2019
"Bacterial sepsis of newborn, unspecified",Yes,No,Normal 18.5-24.9,500 - 749 grams,20.0,1139.0,17.74,2019
"Bacterial sepsis of newborn, unspecified",Yes,No,Normal 18.5-24.9,750 - 999 grams,11.0,1595.0,6.91 (Unreliable),2019
"Bacterial sepsis of newborn, unspecified",Yes,No,Overweight 25.0-29.9,499 grams or less,11.0,239.0,46.46 (Unreliable),2019
"Bacterial sepsis of newborn, unspecified",Yes,No,Overweight 25.0-29.9,500 - 749 grams,23.0,958.0,24.25,2019
"Bacterial sepsis of newborn, unspecified",Yes,No,Overweight 25.0-29.9,750 - 999 grams,11.0,1214.0,9.13 (Unreliable),2019
Unspecified intraventricular (nontraumatic) haemorrhage of newborn,Yes,Yes,Normal 18.5-24.9,500 - 749 grams,11.0,865.0,13.08 (Unreliable),2019
Unspecified intraventricular (nontraumatic) haemorrhage of newborn,Yes,Yes,Overweight 25.0-29.9,500 - 749 grams,13.0,723.0,18.17 (Unreliable),2019
Unspecified intraventricular (nontraumatic) haemorrhage of newborn,Yes,No,Normal 18.5-24.9,500 - 749 grams,13.0,1139.0,11.55 (Unreliable),2019
Unspecified intraventricular (nontraumatic) haemorrhage of newborn,Yes,No,Overweight 25.0-29.9,500 - 749 grams,20.0,958.0,21.07,2019
Necrotizing enterocolitis of newborn,Yes,Yes,Normal 18.5-24.9,500 - 749 grams,11.0,865.0,12.74 (Unreliable),2019
Necrotizing enterocolitis of newborn,Yes,Yes,Overweight 25.0-29.9,500 - 749 grams,12.0,723.0,16.65 (Unreliable),2019
Necrotizing enterocolitis of newborn,Yes,No,Normal 18.5-24.9,500 - 749 grams,23.0,1139.0,20.32,2019
Necrotizing enterocolitis of newborn,Yes,No,Overweight 25.0-29.9,750 - 999 grams,16.0,1214.0,13.25 (Unreliable),2019
Hypoxic ischemic encephalopathy of newborn,Yes,No,Normal 18.5-24.9,3000 - 3499 grams,12.0,15474.0,0.78 (Unreliable),2019
Anencephaly,No,No,Normal 18.5-24.9,1500 - 1999 grams,12.0,2922.0,4.16 (Unreliable),2019
Anencephaly,No,No,Normal 18.5-24.9,2000 - 2499 grams,19.0,38445.0,0.50 (Unreliable),2019
Anencephaly,No,No,Normal 18.5-24.9,2500 - 2999 grams,10.0,211957.0,0.05 (Unreliable),2019
"Congenital malformation of heart, unspecified",Yes,No,Normal 18.5-24.9,2000 - 2499 grams,12.0,14133.0,0.86 (Unreliable),2019
"Congenital malformation of heart, unspecified",Yes,No,Normal 18.5-24.9,2500 - 2999 grams,19.0,14342.0,1.33 (Unreliable),2019
"Congenital malformation of heart, unspecified",Yes,No,Overweight 25.0-29.9,2000 - 2499 grams,10.0,9034.0,1.12 (Unreliable),2019
"Congenital malformation of heart, unspecified",Yes,No,Overweight 25.0-29.9,2500 - 2999 grams,11.0,9584.0,1.16 (Unreliable),2019
"Edwards syndrome, unspecified",Yes,Yes,Normal 18.5-24.9,1500 - 1999 grams,14.0,7898.0,1.79 (Unreliable),2019
"Edwards syndrome, unspecified",Yes,Yes,Overweight 25.0-29.9,1500 - 1999 grams,12.0,5067.0,2.37 (Unreliable),2019
"Edwards syndrome, unspecified",Yes,No,Normal 18.5-24.9,1500 - 1999 grams,20.0,9657.0,2.09,2019
"Edwards syndrome, unspecified",Yes,No,Normal 18.5-24.9,2000 - 2499 grams,12.0,14133.0,0.85 (Unreliable),2019
"Edwards syndrome, unspecified",Yes,No,Overweight 25.0-29.9,1500 - 1999 grams,10.0,6652.0,1.50 (Unreliable),2019
"Edwards syndrome, unspecified",Yes,No,Overweight 25.0-29.9,2000 - 2499 grams,11.0,9034.0,1.23 (Unreliable),2019
"Edwards syndrome, unspecified",No,No,Normal 18.5-24.9,1500 - 1999 grams,23.0,2922.0,7.93,2019
"Edwards syndrome, unspecified",No,No,Overweight 25.0-29.9,1250 - 1499 grams,10.0,282.0,35.86 (Unreliable),2019
"Edwards syndrome, unspecified",No,No,Overweight 25.0-29.9,1500 - 1999 grams,15.0,1804.0,8.38 (Unreliable),2019
"Patau syndrome, unspecified",Yes,No,Normal 18.5-24.9,2000 - 2499 grams,10.0,14133.0,0.71 (Unreliable),2019
Sudden infant death syndrome - SIDS,Yes,No,Normal 18.5-24.9,1500 - 1999 grams,11.0,9657.0,1.14 (Unreliable),2019
Sudden infant death syndrome - SIDS,No,Yes,Normal 18.5-24.9,2000 - 2499 grams,12.0,15637.0,0.77 (Unreliable),2019
Sudden infant death syndrome - SIDS,No,Yes,Normal 18.5-24.9,2500 - 2999 grams,23.0,64960.0,0.36,2019
Sudden infant death syndrome - SIDS,No,Yes,Normal 18.5-24.9,3000 - 3499 grams,35.0,122930.0,0.29,2019
Sudden infant death syndrome - SIDS,No,Yes,Normal 18.5-24.9,3500 - 3999 grams,11.0,74352.0,0.15 (Unreliable),2019
Sudden infant death syndrome - SIDS,No,Yes,Overweight 25.0-29.9,2500 - 2999 grams,11.0,39537.0,0.28 (Unreliable),2019
Sudden infant death syndrome - SIDS,No,Yes,Overweight 25.0-29.9,3000 - 3499 grams,17.0,82381.0,0.21 (Unreliable),2019
Sudden infant death syndrome - SIDS,No,Yes,Obesity I 30.0-34.9,2500 - 2999 grams,17.0,23687.0,0.72 (Unreliable),2019
Sudden infant death syndrome - SIDS,No,Yes,Obesity I 30.0-34.9,3000 - 3499 grams,12.0,49872.0,0.24 (Unreliable),2019
Sudden infant death syndrome - SIDS,No,Yes,Obesity II 35.0-39.9,2500 - 2999 grams,13.0,12168.0,1.07 (Unreliable),2019
Sudden infant death syndrome - SIDS,No,Yes,Obesity II 35.0-39.9,3000 - 3499 grams,20.0,25717.0,0.78,2019
Sudden infant death syndrome - SIDS,No,No,Underweight <18.5,3000 - 3499 grams,17.0,33550.0,0.51 (Unreliable),2019
Sudden infant death syndrome - SIDS,No,No,Normal 18.5-24.9,2000 - 2499 grams,30.0,38445.0,0.78,2019
Sudden infant death syndrome - SIDS,No,No,Normal 18.5-24.9,2500 - 2999 grams,73.0,211957.0,0.35,2019
Sudden infant death syndrome - SIDS,No,No,Normal 18.5-24.9,3000 - 3499 grams,91.0,458350.0,0.2,2019
Sudden infant death syndrome - SIDS,No,No,Normal 18.5-24.9,3500 - 3999 grams,32.0,279019.0,0.12,2019
Sudden infant death syndrome - SIDS,No,No,Overweight 25.0-29.9,2000 - 2499 grams,20.0,21123.0,0.95,2019
Sudden infant death syndrome - SIDS,No,No,Overweight 25.0-29.9,2500 - 2999 grams,51.0,117266.0,0.44,2019
Sudden infant death syndrome - SIDS,No,No,Overweight 25.0-29.9,3000 - 3499 grams,55.0,277168.0,0.2,2019
Sudden infant death syndrome - SIDS,No,No,Overweight 25.0-29.9,3500 - 3999 grams,37.0,197874.0,0.19,2019
Sudden infant death syndrome - SIDS,No,No,Obesity I 30.0-34.9,2000 - 2499 grams,11.0,11878.0,0.93 (Unreliable),2019
Sudden infant death syndrome - SIDS,No,No,Obesity I 30.0-34.9,2500 - 2999 grams,28.0,63491.0,0.44,2019
Sudden infant death syndrome - SIDS,No,No,Obesity I 30.0-34.9,3000 - 3499 grams,40.0,149677.0,0.27,2019
Sudden infant death syndrome - SIDS,No,No,Obesity I 30.0-34.9,3500 - 3999 grams,27.0,112089.0,0.24,2019
Sudden infant death syndrome - SIDS,No,No,Obesity II 35.0-39.9,2500 - 2999 grams,15.0,29844.0,0.50 (Unreliable),2019
Sudden infant death syndrome - SIDS,No,No,Obesity II 35.0-39.9,3000 - 3499 grams,20.0,69693.0,0.29,2019
Sudden infant death syndrome - SIDS,No,No,Obesity II 35.0-39.9,3500 - 3999 grams,24.0,54322.0,0.44,2019
Sudden infant death syndrome - SIDS,No,No,Extreme Obesity III > 39.9,2500 - 2999 grams,12.0,20678.0,0.58 (Unreliable),2019
Sudden infant death syndrome - SIDS,No,No,Extreme Obesity III > 39.9,3000 - 3499 grams,29.0,46224.0,0.63,2019
Sudden infant death syndrome - SIDS,No,No,Extreme Obesity III > 39.9,3500 - 3999 grams,12.0,36098.0,0.33 (Unreliable),2019
Other ill-defined and unspecified causes of mortality,Yes,Yes,Overweight 25.0-29.9,1500 - 1999 grams,11.0,5067.0,2.18 (Unreliable),2019
Other ill-defined and unspecified causes of mortality,Yes,No,Normal 18.5-24.9,1500 - 1999 grams,12.0,9657.0,1.25 (Unreliable),2019
Other ill-defined and unspecified causes of mortality,No,Yes,Normal 18.5-24.9,2000 - 2499 grams,12.0,15637.0,0.77 (Unreliable),2019
Other ill-defined and unspecified causes of mortality,No,Yes,Normal 18.5-24.9,2500 - 2999 grams,27.0,64960.0,0.42,2019
